"ItemNum","Phase","Painting","Artist","Schedule","ConDir","ConName","ConCat","Block","Notes","Subj","Stimset","Stimsubset","Order"
"Session1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"001",2,"a","BF"
"1","instruct",NA,NA,NA,NA,NA,NA,NA,"D1intro1","001",2,"a","BF"
"2","instruct",NA,NA,NA,NA,NA,NA,NA,"D1intro2","001",2,"a","BF"
"3","instruct",NA,NA,NA,NA,NA,NA,NA,"study","001",2,"a","BF"
"2","Study","Images/Grossman/Grossman5.jpg","Grossman","Blocked","Images/Context/mm/Bellagio_Fountains.jpg","Bellagio Fountains","mm","1",NA,"001",2,"a","BF"
"3","Study","Images/Grossman/Grossman2.jpg","Grossman","Blocked","Images/Context/mm/Atomium.jpg","Atomium","mm","1",NA,"001",2,"a","BF"
"4","Study","Images/Grossman/Grossman6.jpg","Grossman","Blocked","Images/Context/nat/Himalayas.jpg","Himalayas","nat","1",NA,"001",2,"a","BF"
"6","Study","Images/Grossman/Grossman3.jpg","Grossman","Blocked","Images/Context/mm/Tower_of_Pisa.jpg","Tower of Pisa","mm","1",NA,"001",2,"a","BF"
"5","Study","Images/Grossman/Grossman1.jpg","Grossman","Blocked","Images/Context/nat/Mount_Fuji.jpg","Mount Fuji","nat","1",NA,"001",2,"a","BF"
"1","Study","Images/Grossman/Grossman4.jpg","Grossman","Blocked","Images/Context/nat/Devil's_Tower.jpg","Devil's Tower","nat","1",NA,"001",2,"a","BF"
"3","Study","Images/Grossman/Grossman2.jpg","Grossman","Blocked","Images/Context/mm/Atomium.jpg","Atomium","mm","1",NA,"001",2,"a","BF"
"5","Study","Images/Grossman/Grossman1.jpg","Grossman","Blocked","Images/Context/nat/Mount_Fuji.jpg","Mount Fuji","nat","1",NA,"001",2,"a","BF"
"4","Study","Images/Grossman/Grossman6.jpg","Grossman","Blocked","Images/Context/nat/Himalayas.jpg","Himalayas","nat","1",NA,"001",2,"a","BF"
"1","Study","Images/Grossman/Grossman4.jpg","Grossman","Blocked","Images/Context/nat/Devil's_Tower.jpg","Devil's Tower","nat","1",NA,"001",2,"a","BF"
"2","Study","Images/Grossman/Grossman5.jpg","Grossman","Blocked","Images/Context/mm/Bellagio_Fountains.jpg","Bellagio Fountains","mm","1",NA,"001",2,"a","BF"
"6","Study","Images/Grossman/Grossman3.jpg","Grossman","Blocked","Images/Context/mm/Tower_of_Pisa.jpg","Tower of Pisa","mm","1",NA,"001",2,"a","BF"
"5","Study","Images/Grossman/Grossman1.jpg","Grossman","Blocked","Images/Context/nat/Mount_Fuji.jpg","Mount Fuji","nat","1",NA,"001",2,"a","BF"
"4","Study","Images/Grossman/Grossman6.jpg","Grossman","Blocked","Images/Context/nat/Himalayas.jpg","Himalayas","nat","1",NA,"001",2,"a","BF"
"6","Study","Images/Grossman/Grossman3.jpg","Grossman","Blocked","Images/Context/mm/Tower_of_Pisa.jpg","Tower of Pisa","mm","1",NA,"001",2,"a","BF"
"3","Study","Images/Grossman/Grossman2.jpg","Grossman","Blocked","Images/Context/mm/Atomium.jpg","Atomium","mm","1",NA,"001",2,"a","BF"
"1","Study","Images/Grossman/Grossman4.jpg","Grossman","Blocked","Images/Context/nat/Devil's_Tower.jpg","Devil's Tower","nat","1",NA,"001",2,"a","BF"
"2","Study","Images/Grossman/Grossman5.jpg","Grossman","Blocked","Images/Context/mm/Bellagio_Fountains.jpg","Bellagio Fountains","mm","1",NA,"001",2,"a","BF"
"1","Study","Images/Grossman/Grossman4.jpg","Grossman","Blocked","Images/Context/nat/Devil's_Tower.jpg","Devil's Tower","nat","1",NA,"001",2,"a","BF"
"3","Study","Images/Grossman/Grossman2.jpg","Grossman","Blocked","Images/Context/mm/Atomium.jpg","Atomium","mm","1",NA,"001",2,"a","BF"
"5","Study","Images/Grossman/Grossman1.jpg","Grossman","Blocked","Images/Context/nat/Mount_Fuji.jpg","Mount Fuji","nat","1",NA,"001",2,"a","BF"
"2","Study","Images/Grossman/Grossman5.jpg","Grossman","Blocked","Images/Context/mm/Bellagio_Fountains.jpg","Bellagio Fountains","mm","1",NA,"001",2,"a","BF"
"4","Study","Images/Grossman/Grossman6.jpg","Grossman","Blocked","Images/Context/nat/Himalayas.jpg","Himalayas","nat","1",NA,"001",2,"a","BF"
"6","Study","Images/Grossman/Grossman3.jpg","Grossman","Blocked","Images/Context/mm/Tower_of_Pisa.jpg","Tower of Pisa","mm","1",NA,"001",2,"a","BF"
"5","Study","Images/Grossman/Grossman1.jpg","Grossman","Blocked","Images/Context/nat/Mount_Fuji.jpg","Mount Fuji","nat","1",NA,"001",2,"a","BF"
"4","Study","Images/Grossman/Grossman6.jpg","Grossman","Blocked","Images/Context/nat/Himalayas.jpg","Himalayas","nat","1",NA,"001",2,"a","BF"
"3","Study","Images/Grossman/Grossman2.jpg","Grossman","Blocked","Images/Context/mm/Atomium.jpg","Atomium","mm","1",NA,"001",2,"a","BF"
"6","Study","Images/Grossman/Grossman3.jpg","Grossman","Blocked","Images/Context/mm/Tower_of_Pisa.jpg","Tower of Pisa","mm","1",NA,"001",2,"a","BF"
"2","Study","Images/Grossman/Grossman5.jpg","Grossman","Blocked","Images/Context/mm/Bellagio_Fountains.jpg","Bellagio Fountains","mm","1",NA,"001",2,"a","BF"
"1","Study","Images/Grossman/Grossman4.jpg","Grossman","Blocked","Images/Context/nat/Devil's_Tower.jpg","Devil's Tower","nat","1",NA,"001",2,"a","BF"
"22","Study","Images/Lindenberg/Lindenberg6.jpg","Lindenberg","Interleaved","Images/Context/mm/Forbidden_City.jpg","Forbidden City","mm","2",NA,"001",2,"a","BF"
"25","Study","Images/Schwartz/Schwartz5.jpg","Schwartz","Interleaved","Images/Context/mm/Eiffel_Tower.jpg","Eiffel Tower","mm","2",NA,"001",2,"a","BF"
"34","Study","Images/Schlorff/Schlorff3.jpg","Schlorff","Interleaved","Images/Context/mm/Space_Needle.jpg","Space Needle","mm","2",NA,"001",2,"a","BF"
"19","Study","Images/Lindenberg/Lindenberg3.jpg","Lindenberg","Interleaved","Images/Context/nat/Paria_Canyon.jpg","Paria Canyon","nat","2",NA,"001",2,"a","BF"
"31","Study","Images/Schlorff/Schlorff2.jpg","Schlorff","Interleaved","Images/Context/nat/Amazon_River.jpg","Amazon River","nat","2",NA,"001",2,"a","BF"
"28","Study","Images/Schwartz/Schwartz4.jpg","Schwartz","Interleaved","Images/Context/nat/Lake_Tahoe.jpg","Lake Tahoe","nat","2",NA,"001",2,"a","BF"
"34","Study","Images/Schlorff/Schlorff3.jpg","Schlorff","Interleaved","Images/Context/mm/Space_Needle.jpg","Space Needle","mm","2",NA,"001",2,"a","BF"
"19","Study","Images/Lindenberg/Lindenberg3.jpg","Lindenberg","Interleaved","Images/Context/nat/Paria_Canyon.jpg","Paria Canyon","nat","2",NA,"001",2,"a","BF"
"25","Study","Images/Schwartz/Schwartz5.jpg","Schwartz","Interleaved","Images/Context/mm/Eiffel_Tower.jpg","Eiffel Tower","mm","2",NA,"001",2,"a","BF"
"28","Study","Images/Schwartz/Schwartz4.jpg","Schwartz","Interleaved","Images/Context/nat/Lake_Tahoe.jpg","Lake Tahoe","nat","2",NA,"001",2,"a","BF"
"31","Study","Images/Schlorff/Schlorff2.jpg","Schlorff","Interleaved","Images/Context/nat/Amazon_River.jpg","Amazon River","nat","2",NA,"001",2,"a","BF"
"22","Study","Images/Lindenberg/Lindenberg6.jpg","Lindenberg","Interleaved","Images/Context/mm/Forbidden_City.jpg","Forbidden City","mm","2",NA,"001",2,"a","BF"
