sf,ori,thisN,thisTrialN,thisRepN,RT,choice
2.0,150,0,0,1,1.07929035546,1.0
0.5,150,1,1,1,0.260054357239,1.0
1.0,90,2,2,1,1.10061981587,0.0
1.0,120,3,3,1,1.13554269219,0.0
1.0,150,4,4,1,1.28406500439,1.0
2.0,120,5,5,1,1.35011010235,1.0
0.5,90,6,6,1,0.860646336876,0.0
2.0,90,7,7,1,1.23987215004,1.0
0.5,120,8,8,1,1.18489670007,1.0
2.0,90,9,0,2,1.94032013448,0.0
1.0,90,10,1,2,1.12186864854,1.0
1.0,120,11,2,2,1.01913948434,1.0
0.5,150,12,3,2,1.03351871519,1.0
2.0,120,13,4,2,1.57100910874,1.0
2.0,150,14,5,2,1.26223474348,0.0
1.0,150,15,6,2,1.03551175161,0.0
0.5,90,16,7,2,1.09102347363,0.0
0.5,120,17,8,2,1.08639552643,1.0
0.5,150,18,0,3,1.06629300704,0.0
1.0,90,19,1,3,0.605462390464,0.0
2.0,90,20,2,3,1.5123675004,0.0
2.0,120,21,3,3,1.36091632881,0.0
0.5,90,22,4,3,1.13155642754,0.0
0.5,120,23,5,3,0.749869751068,0.0
2.0,150,24,6,3,1.8174169819,0.0
1.0,120,25,7,3,0.5496245687,1.0
1.0,150,26,8,3,0.614922927844,0.0
2.0,120,27,0,4,1.20410037071,1.0
0.5,90,28,1,4,0.322158571426,1.0
0.5,120,29,2,4,0.994312294523,0.0
2.0,150,30,3,4,1.2873541375,0.0
1.0,90,31,4,4,1.31588734438,1.0
0.5,150,32,5,4,1.24521407928,0.0
2.0,90,33,6,4,1.41124441201,0.0
1.0,120,34,7,4,0.866534127585,1.0
1.0,150,35,8,4,0.810046248787,1.0
1.0,150,36,0,5,0.607216283755,1.0
2.0,150,37,1,5,1.32500644735,0.0
0.5,120,38,2,5,0.757408806502,0.0
2.0,90,39,3,5,1.25164688016,1.0
1.0,90,40,4,5,0.978669608591,1.0
1.0,120,41,5,5,1.11827824892,1.0
0.5,90,42,6,5,1.16340678417,0.0
0.5,150,43,7,5,0.341790781062,0.0
2.0,120,44,8,5,1.13940588042,0.0
2.0,150,45,0,6,1.11554701761,0.0
0.5,120,46,1,6,1.09533300334,0.0
1.0,150,47,2,6,1.42404776987,0.0
2.0,90,48,3,6,1.08597536385,0.0
1.0,120,49,4,6,1.24461867969,1.0
2.0,120,50,5,6,1.54838498577,1.0
1.0,90,51,6,6,1.32692857048,1.0
0.5,90,52,7,6,1.20483764627,0.0
0.5,150,53,8,6,0.849364859388,1.0
1.0,90,54,0,7,1.16309378685,0.0
0.5,150,55,1,7,0.805661511363,1.0
0.5,90,56,2,7,1.07143371701,1.0
0.5,120,57,3,7,0.371008382949,0.0
2.0,120,58,4,7,1.92643207709,0.0
1.0,120,59,5,7,0.707091797835,1.0
2.0,90,60,6,7,1.50518127764,1.0
1.0,150,61,7,7,0.965674015915,1.0
2.0,150,62,8,7,1.51671918434,1.0
0.5,150,63,0,8,0.768371219771,0.0
0.5,120,64,1,8,1.21699544526,0.0
0.5,90,65,2,8,0.539967666128,0.0
2.0,90,66,3,8,1.40514882805,1.0
2.0,150,67,4,8,1.83044077352,1.0
1.0,90,68,5,8,1.04709154079,1.0
2.0,120,69,6,8,1.6632220382,0.0
1.0,150,70,7,8,1.34764122166,0.0
1.0,120,71,8,8,1.42593428198,0.0
1.0,120,72,0,9,1.37635664311,0.0
1.0,90,73,1,9,1.37702318889,1.0
0.5,90,74,2,9,0.677169078144,1.0
2.0,120,75,3,9,1.36538422983,1.0
2.0,150,76,4,9,1.77862455189,0.0
0.5,150,77,5,9,1.15734574978,0.0
2.0,90,78,6,9,1.16675749067,1.0
1.0,150,79,7,9,1.31823742867,1.0
0.5,120,80,8,9,0.365895125221,0.0
1.0,90,81,0,10,0.639474852468,0.0
2.0,120,82,1,10,1.07744879311,0.0
2.0,150,83,2,10,1.7430836322,1.0
2.0,90,84,3,10,1.26430685771,1.0
1.0,150,85,4,10,1.36269815946,0.0
0.5,150,86,5,10,1.15629400826,1.0
1.0,120,87,6,10,1.27498547877,1.0
0.5,120,88,7,10,0.286525014591,1.0
0.5,90,89,8,10,0.735991317112,0.0
