participant	session	TrialNumber	sf	ori	ran	order	choice	RT
Nobody	1	1	2.0	120	1.0	0.0	1.0	1.94563
Nobody	1	2	0.5	150	1.0	1.0	1.0	0.952263
Nobody	1	3	1.0	120	1.0	2.0	0.0	1.03029
Nobody	1	4	0.5	120	1.0	3.0	1.0	0.630651
Nobody	1	5	2.0	150	1.0	4.0	1.0	1.00083
Nobody	1	6	1.0	90	1.0	5.0	1.0	0.705375
Nobody	1	7	2.0	90	1.0	6.0	1.0	1.33933
Nobody	1	8	1.0	150	1.0	7.0	1.0	1.38113
Nobody	1	9	0.5	90	1.0	8.0	0.0	0.896197
Nobody	1	10	1.0	150	1.0	9.0	0.0	0.730392
Nobody	1	11	1.0	90	1.0	10.0	1.0	1.05616
Nobody	1	12	0.5	90	1.0	11.0	0.0	1.10498
Nobody	1	13	2.0	90	1.0	12.0	0.0	1.86115
Nobody	1	14	0.5	150	1.0	13.0	0.0	0.711092
Nobody	1	15	0.5	120	1.0	14.0	0.0	0.844481
Nobody	1	16	1.0	120	1.0	15.0	0.0	0.898689
Nobody	1	17	2.0	120	1.0	16.0	1.0	1.18816
Nobody	1	18	2.0	150	1.0	17.0	0.0	1.50431
Nobody	1	19	0.5	150	1.0	18.0	1.0	1.09082
Nobody	1	20	1.0	90	1.0	19.0	1.0	1.0165
Nobody	1	21	2.0	150	1.0	20.0	0.0	1.11592
Nobody	1	22	1.0	150	1.0	21.0	1.0	1.31376
Nobody	1	23	1.0	120	1.0	22.0	0.0	1.4461
Nobody	1	24	2.0	120	1.0	23.0	0.0	1.99589
Nobody	1	25	0.5	120	1.0	24.0	1.0	1.22918
Nobody	1	26	2.0	90	1.0	25.0	1.0	1.31222
Nobody	1	27	0.5	90	1.0	26.0	1.0	0.740184
Nobody	1	28	0.5	150	1.0	27.0	0.0	0.715626
Nobody	1	29	2.0	150	1.0	28.0	0.0	1.57035
Nobody	1	30	2.0	90	1.0	29.0	0.0	1.98686
Nobody	1	31	0.5	120	1.0	30.0	0.0	0.941934
Nobody	1	32	1.0	90	1.0	31.0	0.0	1.25247
